,u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bearing,junction,access,bridge
0,260123882,260123892,0,964338568,True,3,بزرگراه وکیل آباد,trunk,80,553.264,"LINESTRING (59.5147735 36.3235014, 59.5105195 36.3248409, 59.5090289 36.3253276)",291.5,,,
1,260123892,260123893,0,966754384,True,3,بزرگراه وکیل آباد,trunk,80,112.08,"LINESTRING (59.5090289 36.3253276, 59.50786 36.3256869)",290.9,,,
2,260123892,9022444270,0,23992884,True,,بولوار دانش آموز,secondary,50,49.604,"LINESTRING (59.5090289 36.3253276, 59.5089458 36.3254008, 59.5088521 36.3254853, 59.5087921 36.3256002, 59.5087887 36.3257091)",333.1,,,
3,260123893,1030590115,0,966754384,True,3,بزرگراه وکیل آباد,trunk,80,414.362,"LINESTRING (59.50786 36.3256869, 59.5035473 36.3270337)",291.2,,,
4,260123904,8179988917,0,968231276,True,3,بزرگراه وکیل آباد,trunk,80,80.728,"LINESTRING (59.5005497 36.3279784, 59.4997077 36.3282371)",290.9,,,
5,260123948,260130927,0,23992884,True,,بولوار دانش آموز,secondary,50,73.625,"LINESTRING (59.5089866 36.3262257, 59.5092948 36.3268395)",22.0,,,
6,260123948,260131223,0,56313975,False,,کوچه دانش آموز ۱,residential,30,221.937,"LINESTRING (59.5089866 36.3262257, 59.5112883 36.3254875)",111.7,,,
7,260124276,260589584,0,24029230,True,,بولوار امامت,secondary,60,74.311,"LINESTRING (59.5328978 36.317849, 59.5326024 36.3180513, 59.532539 36.3181338, 59.5324951 36.3182414, 59.5325088 36.3183866)",329.8,,,
8,260124276,260124278,0,381812638,True,3,بزرگراه وکیل آباد,trunk,70,121.262,"LINESTRING (59.5328978 36.317849, 59.5322377 36.3180556, 59.5318787 36.3181679, 59.5316362 36.3182439)",291.2,,,
9,260124278,3577963830,0,386296780,True,,بزرگراه وکیل آباد,trunk,70,347.006,"LINESTRING (59.5316362 36.3182439, 59.5280295 36.3193813)",291.4,,,
10,260124291,260123882,0,964338568,True,3,بزرگراه وکیل آباد,trunk,80,178.899,"LINESTRING (59.51663 36.3229088, 59.5147735 36.3235014)",291.6,,,
11,260124291,260130822,0,23992878,True,,,trunk_link,,92.74,"LINESTRING (59.51663 36.3229088, 59.516337 36.323089, 59.5162612 36.323186, 59.5162325 36.3232441, 59.5162042 36.3233015, 59.5161716 36.3234486, 59.516193 36.3235963)",332.9,,,
