,u,v,key,osmid,oneway,lanes,highway,maxspeed,length,bearing,name,bridge,geometry,width,ref,tunnel,junction
0,260243370,2430551787,0,294304944,True,2.0,secondary,50,169.754,86.0,,,"LINESTRING (59.6265914 36.2578211, 59.62848 36.2579278)",,,,
1,260243370,1847134651,0,701052539,False,,residential,30,86.474,102.5,بسیج ۴۶,,"LINESTRING (59.6265914 36.2578211, 59.627533 36.2576529)",,,,
2,260243374,2430551804,0,234935060,True,,trunk_link,,228.207,78.9,,,"LINESTRING (59.6296548 36.2579996, 59.6321522 36.2583953)",,,,
3,260243374,2430551793,0,943184655,True,2.0,secondary,50,137.946,86.2,,,"LINESTRING (59.6296548 36.2579996, 59.6311899 36.2580818)",,,,
4,260243376,2430551825,0,"[234935082, 173968919, 173968895]",True,,secondary_link,,594.075,25.4,,yes,"LINESTRING (59.6315323 36.2581044, 59.6327211 36.2582294, 59.6338006 36.2582998, 59.6345131 36.2583577, 59.634656 36.2583935, 59.6347689 36.2584726, 59.6348329 36.2585817, 59.6348372 36.2587022, 59.634781 36.258814, 59.6346738 36.2588982, 59.6345337 36.2589405, 59.6343844 36.2589339, 59.6337343 36.2588788, 59.6326698 36.2588207, 59.6319596 36.2588298)",,,,
5,260243376,1847134654,0,968154736,True,2.0,secondary,50,239.754,86.2,,,"LINESTRING (59.6315323 36.2581044, 59.6326597 36.2581554, 59.6342004 36.2582457)",,,,
6,260243381,260243382,0,943887333,True,2.0,secondary,50,110.202,85.0,,,"LINESTRING (59.6378717 36.2584478, 59.6390961 36.2585341)",,,,
7,260243381,265484500,0,24427941,True,,unclassified,,112.254,152.7,,,"LINESTRING (59.6378717 36.2584478, 59.6380001 36.2583955, 59.638153 36.258256, 59.6382456 36.2580841, 59.6384233 36.2575843)",,,,
8,260243382,1847134676,0,943887332,True,2.0,secondary,50,28.566,85.2,,,"LINESTRING (59.6390961 36.2585341, 59.6394136 36.2585554)",,,,
9,260243382,8739301716,0,943887339,True,,residential,30,30.866,156.1,,,"LINESTRING (59.6390961 36.2585341, 59.6391897 36.2584755, 59.6392219 36.2584182, 59.639225 36.2582991)",,,,
10,260245101,6055891936,0,968154735,True,2.0,secondary,50,102.192,255.4,,,"LINESTRING (59.6453587 36.2601569, 59.6442556 36.2599257)",,,,
11,260245101,7699550153,0,824564723,True,,trunk_link,,164.846,246.5,,,"LINESTRING (59.6453587 36.2601569, 59.6448609 36.2599648, 59.6436737 36.2595648)",,,,
12,260245101,7699550164,0,"[994871330, 994871325, 824564718]",True,,trunk,,133.296,165.2,,yes,"LINESTRING (59.6453587 36.2601569, 59.6452548 36.2600839, 59.6451214 36.2599506, 59.6450487 36.2598166, 59.645012 36.2597083, 59.6450384 36.2596027, 59.6451072 36.2595104, 59.6452104 36.259442, 59.645616 36.2593709)",,,,
13,260245104,7551786116,0,971180990,True,2.0,secondary,50,50.735,255.8,,,"LINESTRING (59.6435143 36.2597605, 59.6429657 36.2596487)",,,,
14,260245104,8733458333,0,404467101,False,,residential,30,144.052,25.1,بسیج ۱۷,,"LINESTRING (59.6435143 36.2597605, 59.6441589 36.2607303, 59.6441907 36.2609238)",,,,
15,260245104,7551786119,0,807551147,True,,tertiary,30,59.217,296.1,خیابان محمدآباد,,"LINESTRING (59.6435143 36.2597605, 59.6433149 36.2597938, 59.6429293 36.2599913)",,,,
16,260245116,268427900,0,24695076,True,,secondary,50,136.55599999999998,325.3,بولوار شهید رستمی,,"LINESTRING (59.6285747 36.2586142, 59.6283453 36.2586419, 59.628223 36.2587015, 59.6281191 36.2587798, 59.6280276 36.2588956, 59.6279459 36.2590844, 59.6278548 36.2593543, 59.6277814 36.2595392)",,,,
17,260651189,260245116,0,968154734,True,2.0,secondary,50,134.076,265.7,,,"LINESTRING (59.6300658 36.2587049, 59.6285747 36.2586142)",,,,
18,260748034,7221333844,0,773648862,False,,residential,,154.795,138.0,,,"LINESTRING (59.6216849 36.2794639, 59.6228403 36.2784293)",,,,
19,260748034,262949147,0,24284095,True,,primary_link,,268.62,55.3,هفده شهریور,,"LINESTRING (59.6216849 36.2794639, 59.6220489 36.279667, 59.6230817 36.2804143, 59.6234172 36.2806488, 59.6236144 36.2807477, 59.6236779 36.2807651, 59.6238166 36.280803, 59.6240929 36.2808089)",,,,
20,260748703,260748706,0,943184665,True,3.0,trunk,80,258.483,34.8,بزرگراه بسیج,,"LINESTRING (59.651231 36.2628325, 59.6515189 36.263136, 59.6518654 36.2635142, 59.6528757 36.2647406)",,,,
21,260748706,260748708,0,234935055,True,,trunk_link,,106.818,45.8,,,"LINESTRING (59.6528757 36.2647406, 59.65373 36.2654102)",,,,
22,260748708,2430551881,0,851494727,True,2.0,secondary,50,297.267,35.3,,,"LINESTRING (59.65373 36.2654102, 59.6540524 36.2657683, 59.6543053 36.2660542, 59.6547966 36.2666041, 59.6552044 36.2670554, 59.6553038 36.2671796, 59.655397 36.2672924, 59.6556448 36.2675922)",,,,
23,260760686,260760689,0,539192656,True,3.0,trunk,80,253.424,216.2,بزرگراه بسیج,,"LINESTRING (59.6526585 36.2648334, 59.6516217 36.2636478, 59.6512784 36.2632801, 59.6509901 36.2629946)",,,,
24,260760689,8733401697,0,234935085,True,,trunk_link,,353.097,233.3,,,"LINESTRING (59.6509901 36.2629946, 59.6505326 36.2627061, 59.6497267 36.2620571, 59.6491829 36.2617159, 59.6486136 36.2614083, 59.6478563 36.2611077)",,,,
25,260760689,8733401696,0,311418825,True,3.0,trunk,80,1032.774,244.8,بزرگراه بسیج,,"LINESTRING (59.6509901 36.2629946, 59.6503963 36.2624272, 59.6498261 36.2619683, 59.6492924 36.2615883, 59.6489531 36.2613941, 59.6469779 36.2604622, 59.6466071 36.2602873, 59.6460878 36.2600729, 59.6454064 36.2598347, 59.6446159 36.2596147, 59.6442568 36.259524, 59.6438911 36.2594526, 59.6433674 36.2593643, 59.6429931 36.2593193, 59.6423101 36.2592519, 59.6408849 36.2591605)",,,,
26,260760695,266629394,0,968154694,True,1.0,secondary,50,222.03400000000005,253.9,,,"LINESTRING (59.6480739 36.2614594, 59.6477561 36.2613386, 59.6469719 36.2610021, 59.6467421 36.26092, 59.646488 36.2608633, 59.6462627 36.2608503, 59.6460669 36.260873, 59.6457754 36.2609231)",,,,
27,262147585,313508778,0,24043320,True,4.0,primary,60,102.594,27.1,بولوار هفده شهریور,,"LINESTRING (59.6205158 36.277811, 59.6206322 36.2779729, 59.6210369 36.2786321)",15.0,,,
28,262147646,1243749148,0,24043320,True,4.0,primary,60,75.799,58.9,بولوار هفده شهریور,,"LINESTRING (59.6178425 36.2762977, 59.6181401 36.2764259, 59.6185658 36.2766496)",15.0,,,
29,262486020,4347367209,0,24243375,True,,secondary,50,36.49,18.6,خیابان صدر شمالی,,"LINESTRING (59.6193124 36.2744151, 59.6194423 36.2747261)",,,,
30,262486222,262486020,0,24243375,True,,secondary,50,41.093,15.0,خیابان صدر شمالی,,"LINESTRING (59.6191939 36.2740581, 59.6193124 36.2744151)",,,,
31,262486329,2270892298,0,24243346,True,3.0,secondary,40,44.329,305.9,بولوار شیرودی,,"LINESTRING (59.6240932 36.2719843, 59.6236925 36.2722179)",10.0,,,
32,262486329,2270892301,0,28810012,False,,residential,30,52.458,45.1,شیرودی ۱۲,,"LINESTRING (59.6240932 36.2719843, 59.6245077 36.2723173)",,,,
33,262486334,2270892321,0,24243346,True,3.0,secondary,40,36.25,293.4,بولوار شیرودی,,"LINESTRING (59.6209792 36.2733239, 59.6206081 36.2734534)",10.0,,,
34,262486334,313508818,0,28540046,False,,residential,30,34.539,38.0,شیرودی ۴,,"LINESTRING (59.6209792 36.2733239, 59.6212162 36.2735688)",,,,
35,262486850,262486954,0,24243375,True,,secondary,50,78.131,15.9,خیابان صدر شمالی,,"LINESTRING (59.6197383 36.2754436, 59.6199765 36.2761195)",,,,
36,262486850,4347367213,0,436880527,False,,residential,30,74.052,109.3,صدر ۱۰,,"LINESTRING (59.6197383 36.2754436, 59.620518 36.2752236)",,,,
37,262486954,316747247,0,24243375,True,,secondary,50,16.474,15.9,خیابان صدر شمالی,,"LINESTRING (59.6199765 36.2761195, 59.6200268 36.276262)",,,,
38,262486955,262486956,0,24243375,True,,secondary,50,50.725,16.5,خیابان صدر شمالی,,"LINESTRING (59.620224 36.2768337, 59.6203847 36.2772711)",,,,
39,262486955,703696346,0,56064113,False,,residential,30,126.883,112.1,صدر ۶,,"LINESTRING (59.620224 36.2768337, 59.6215359 36.2764053)",,,,
40,262486956,262147585,0,24243375,True,,secondary,50,61.18300000000001,11.1,خیابان صدر شمالی,,"LINESTRING (59.6203847 36.2772711, 59.6204564 36.2775902, 59.6205158 36.277811)",,,,
41,262486956,703696351,0,"[56064114, 56064115]",False,,residential,30,292.739,74.3,صدر ۴,,"LINESTRING (59.6203847 36.2772711, 59.6217916 36.2767146, 59.6218358 36.2767141, 59.6218683 36.2767404, 59.622481 36.2774038, 59.6227712 36.2778108)",,,,
42,262949147,266038807,0,24532030,True,,primary,60,86.024,133.4,بولوار مصلی,,"LINESTRING (59.6240929 36.2808089, 59.6242843 36.2807067, 59.624516 36.2805149, 59.6247867 36.2802797)",,,,
43,264624332,264624335,0,62226763,True,,secondary,50,916.617,116.5,بولوار شهید عباسپور,,"LINESTRING (59.6446359 36.2752207, 59.6465233 36.2744643, 59.6511633 36.2726046, 59.6528247 36.2719387, 59.653671 36.2715963, 59.6537899 36.2715481)",,,,
44,264624335,8740228002,0,234935049,True,,secondary_link,,65.672,122.9,ورودی به بزرگراه بسیج,,"LINESTRING (59.6537899 36.2715481, 59.6544052 36.2712276)",,,,
45,264624335,4874403447,0,"[71030472, 495708385, 56129468, 234935069]",True,2.0,"['secondary', 'primary']","['60', '50']",664.7239999999999,116.4,"['بولوار حر', 'بولوار شهید عباسپور']",yes,"LINESTRING (59.6537899 36.2715481, 59.6543455 36.2713541, 59.6559617 36.2706723, 59.6582167 36.2697771, 59.6589417 36.2695131, 59.6591782 36.2694172, 59.6597007 36.2691985, 59.6598608 36.2691308, 59.6600644 36.2690483, 59.6602022 36.2689983, 59.6604279 36.2688896)",,,,
46,264624337,2978946364,0,234935049,True,,secondary_link,,188.249,122.4,ورودی به بزرگراه بسیج,,"LINESTRING (59.6545665 36.2711638, 59.6557745 36.2706851, 59.6559867 36.2705814, 59.6561198 36.2704907, 59.6562384 36.2703719, 59.6563085 36.2702721)",,,,
47,264624532,2184576569,0,24518571,True,,tertiary,40,13.261,23.2,مهریز,,"LINESTRING (59.667664 36.2659839, 59.6677223 36.2660935)",,,,
48,264624532,5704010535,0,71030467,True,,primary,60,170.49300000000002,116.6,بولوار حر,,"LINESTRING (59.667664 36.2659839, 59.6689264 36.2654699, 59.668995 36.2654427, 59.6693637 36.2652963)",,22.0,,
49,264624534,559522488,0,44003760,False,,residential,30,58.169,208.8,شهید معقول - حر ۹,,"LINESTRING (59.6703837 36.2648915, 59.6700711 36.2644331)",,,,
50,264624534,6708174847,0,71030467,True,,primary,60,51.269,116.9,بولوار حر,,"LINESTRING (59.6703837 36.2648915, 59.6708938 36.2646831)",,22.0,,
51,264624534,1806003682,0,169431754,False,,primary_link,,10.618,27.2,,,"LINESTRING (59.6703837 36.2648915, 59.6704379 36.2649764)",,,,
52,264624690,846237698,0,71030480,True,,primary,60,145.242,296.5,بولوار حر,,"LINESTRING (59.6676335 36.2661394, 59.6661836 36.2667221)",,22.0,,
53,264624690,2184576567,0,208096058,True,,tertiary,40,14.006,206.8,مهریز,,"LINESTRING (59.6676335 36.2661394, 59.667563 36.266027)",,,,
54,264624845,5684627978,0,71030467,True,,primary,60,56.17,116.7,بولوار حر,,"LINESTRING (59.6715482 36.2644156, 59.6721077 36.2641883)",,22.0,,
55,264624845,568334902,0,44825983,False,,residential,30,131.053,212.3,حر ۱۳,,"LINESTRING (59.6715482 36.2644156, 59.6713724 36.2641917, 59.6712193 36.2639965, 59.6707665 36.2634197)",,,,
56,264624847,5702328587,0,24518562,False,,tertiary,40,47.745,217.1,کشاورز - حر ۱۹,,"LINESTRING (59.676107 36.2625637, 59.6757855 36.2622214)",,,,
57,264624847,5702328585,0,71030467,True,,primary,60,44.655,117.2,بولوار حر,,"LINESTRING (59.676107 36.2625637, 59.6765499 36.26238)",,22.0,,
58,264625102,846237720,0,71030462,False,,primary_link,,13.302,27.7,,,"LINESTRING (59.6893304 36.257156, 59.6893994 36.2572619)",,,,
59,264625102,846237744,0,"[24414522, 24386933]",True,,primary,60,2372.742,116.8,بولوار امام رضا,,"LINESTRING (59.6893304 36.257156, 59.6902115 36.2568105, 59.7054172 36.2506576, 59.7057175 36.2505175, 59.7107877 36.2484174, 59.71295 36.2475381)",,22.0,,
60,264625437,4136123835,0,71030480,True,,primary,60,65.06,296.7,بولوار حر,,"LINESTRING (59.6763592 36.2625734, 59.675711 36.2628364)",,22.0,,
61,264625437,2184576528,0,208136511,False,,tertiary,40,83.988,58.7,خیابان اروند,,"LINESTRING (59.6763592 36.2625734, 59.6764853 36.2626944, 59.6771489 36.2629598)",,,,
62,264903405,2184576694,0,24404620,True,,tertiary,40,89.13199999999999,48.8,,,"LINESTRING (59.6907786 36.2696895, 59.6910338 36.2698319, 59.6913308 36.2700679, 59.6914289 36.2701421, 59.6915246 36.2702158)",,,,
63,264903405,6863466738,0,208136511,False,,tertiary,40,241.049,231.9,خیابان اروند,,"LINESTRING (59.6907786 36.2696895, 59.6903317 36.2693554, 59.6893103 36.2687464, 59.688665 36.2683531)",,,,
64,264903494,4136130051,0,208136495,False,,residential,30,190.755,144.1,اروند ۴۳,,"LINESTRING (59.6873304 36.2675397, 59.6885791 36.2661507)",,,,
65,264903494,4136142308,0,208136511,False,,tertiary,40,20.387,235.1,خیابان اروند,,"LINESTRING (59.6873304 36.2675397, 59.6871439 36.2674348)",,,,
66,264903494,6863466738,0,208136511,False,,tertiary,40,149.988,52.9,خیابان اروند,,"LINESTRING (59.6873304 36.2675397, 59.688665 36.2683531)",,,,
67,264903498,559521231,0,44003655,False,,tertiary,40,78.251,100.8,شهید بخشی,,"LINESTRING (59.6833536 36.265487, 59.684211 36.2653554)",,,,
68,264903498,559521230,0,208136511,False,,tertiary,40,31.063,243.1,خیابان اروند,,"LINESTRING (59.6833536 36.265487, 59.6830445 36.2653608)",,,,
69,264903498,3802388030,0,208136511,False,,tertiary,40,214.125,61.5,خیابان اروند,,"LINESTRING (59.6833536 36.265487, 59.6844952 36.2659576, 59.6854307 36.2663936, 59.6854514 36.2664058)",,,,
70,265062806,2639744492,0,24414532,True,,primary,60,36.667,301.7,بولوار امام رضا,,"LINESTRING (59.7204962 36.2444794, 59.7202505 36.2446109, 59.7201489 36.2446526)",,22.0,,
71,265063202,2639744625,0,24414522,True,,primary,60,140.712,116.2,بولوار امام رضا,,"LINESTRING (59.7162305 36.2461199, 59.7176382 36.2455609)",,22.0,,
72,265063202,2639744566,0,58092033,False,,residential,30,106.265,221.8,حر ۴۱ + شهید بسکابادی,,"LINESTRING (59.7162305 36.2461199, 59.7154412 36.2454071)",,,,
73,265063202,265063445,0,71030448,False,,primary_link,,14.375,42.1,,,"LINESTRING (59.7162305 36.2461199, 59.716338 36.2462158)",,,,
74,265063445,2639744495,0,24414532,True,,primary,60,167.124,298.7,بولوار امام رضا,,"LINESTRING (59.716338 36.2462158, 59.7147028 36.2469368)",,22.0,,
75,265063445,265063202,0,71030448,False,,primary_link,,14.375,222.1,,,"LINESTRING (59.716338 36.2462158, 59.7162305 36.2461199)",,,,
76,265063445,2639744486,0,612304108,False,,residential,30,165.987,37.9,حر ۹۸,,"LINESTRING (59.716338 36.2462158, 59.7174744 36.2473941)",,,,
77,265405349,4352923983,0,437476212,True,,tertiary,40,207.527,129.1,کنارگذر مفتح,,"LINESTRING (59.6771054 36.2793418, 59.6779727 36.2787528, 59.6785413 36.2783982, 59.6789014 36.2781646)",,,,
78,265420226,6709013501,0,24424003,False,,tertiary,40,19.099,216.3,پورسینا,,"LINESTRING (59.6805846 36.2750768, 59.6804586 36.2749383)",,,,
79,265420226,6709013519,0,24424003,False,,tertiary,40,28.336,37.6,پورسینا,,"LINESTRING (59.6805846 36.2750768, 59.6807773 36.2752788)",,,,
80,265420226,6709013532,0,713554500,False,,residential,,127.576,114.2,پورسینا ۵۳,,"LINESTRING (59.6805846 36.2750768, 59.6818829 36.2746069)",,,,
81,265420230,6709013491,0,24424003,False,,tertiary,40,42.343,227.5,پورسینا,,"LINESTRING (59.6794886 36.2744217, 59.6791405 36.2741643)",,,,
82,265420230,6709013499,0,24424003,False,,tertiary,40,36.49,61.0,پورسینا,,"LINESTRING (59.6794886 36.2744217, 59.6796229 36.2744981, 59.6798433 36.27458)",,,,
83,265420230,6709013490,0,44825736,False,,residential,30,70.53699999999999,302.9,پورسینا ۵۰,,"LINESTRING (59.6794886 36.2744217, 59.6788698 36.2747463, 59.6788278 36.274766)",,,,
84,265483941,559634513,0,943184653,True,,residential,30,18.235,38.0,,,"LINESTRING (59.6427812 36.257843, 59.6429063 36.2579723)",,,,
85,265483943,265483944,0,965411795,False,,tertiary,40,16.442,150.8,عمار یاسر,,"LINESTRING (59.6433088 36.2573634, 59.6433982 36.2572343)",,,,
86,265483943,265483941,0,24427906,True,,tertiary,40,71.58,318.4,عمار یاسر,,"LINESTRING (59.6433088 36.2573634, 59.6431205 36.2575776, 59.6427812 36.257843)",,,,
87,265483944,2184148021,0,208096136,False,,residential,30,40.412,70.7,عمار یاسر ۶,,"LINESTRING (59.6433982 36.2572343, 59.6438235 36.2573546)",,,,
88,265483944,2184147986,0,965411795,False,,tertiary,40,117.751,148.4,عمار یاسر,,"LINESTRING (59.6433982 36.2572343, 59.644086 36.2563322)",,,,
89,265483944,265483943,0,965411795,False,,tertiary,40,16.442,330.8,عمار یاسر,,"LINESTRING (59.6433982 36.2572343, 59.6433088 36.2573634)",,,,
90,265483998,2430551818,0,24427906,True,,tertiary,40,44.149,39.1,عمار یاسر,,"LINESTRING (59.6420489 36.2584589, 59.6420791 36.258582, 59.6421334 36.2586432, 59.6423395 36.2587477)",,,,
91,265483998,265484334,0,453387790,True,,tertiary_link,,25.167,270.2,,,"LINESTRING (59.6420489 36.2584589, 59.6419993 36.2584939, 59.6419062 36.2585036, 59.6418398 36.2584884, 59.6418023 36.2584595)",,,,
92,265484334,2184148092,0,514906233,False,,unclassified,,70.298,248.7,,,"LINESTRING (59.6418023 36.2584595, 59.641072 36.2582295)",,,,
93,265484334,265483943,0,24427917,True,,tertiary,40,182.095,132.1,,,"LINESTRING (59.6418023 36.2584595, 59.6420825 36.2582727, 59.6427509 36.257806, 59.6430896 36.2575531, 59.6433088 36.2573634)",,,,
94,265484500,1847134648,0,24427959,False,,unclassified,,10.405,170.5,,,"LINESTRING (59.6384233 36.2575843, 59.6384424 36.257492)",,,,
95,265484500,8739301716,0,173968942,False,,residential,30,108.804,42.1,بسیج ۳۸,,"LINESTRING (59.6384233 36.2575843, 59.6386471 36.2578395, 59.638842 36.2579577, 59.6390798 36.2581018, 59.639225 36.2582991)",,,,
96,265484853,1847134592,0,24427972,False,,unclassified,,33.389,12.9,شهید آقا مصطفی خمینی,,"LINESTRING (59.630791 36.2563352, 59.6308741 36.2566279)",,,,
97,265484853,1847134578,0,173968896,False,,unclassified,,134.541,102.9,خیابان مصطفی خمینی - بسیج ۴۸,,"LINESTRING (59.630791 36.2563352, 59.6322537 36.2560654)",,,,
98,265484853,1847134590,0,173968896,False,,unclassified,,100.882,283.2,خیابان مصطفی خمینی - بسیج ۴۸,,"LINESTRING (59.630791 36.2563352, 59.6304337 36.2564028, 59.6296956 36.2565423)",,,,
99,265484854,1847134590,0,173968896,False,,unclassified,,216.487,102.2,خیابان مصطفی خمینی - بسیج ۴۸,,"LINESTRING (59.6273354 36.2569525, 59.6296956 36.2565423)",,,,
100,265484854,1847134632,0,173968940,False,,residential,30,31.131,12.8,,,"LINESTRING (59.6273354 36.2569525, 59.6274124 36.2572255)",,,,
101,265484960,5058019319,0,24427972,False,,unclassified,,15.641,193.6,شهید آقا مصطفی خمینی,,"LINESTRING (59.6312212 36.2578306, 59.6311801 36.2576939)",,,,
102,265484960,260243376,0,24427970,True,,secondary_link,,41.72,42.5,,,"LINESTRING (59.6312212 36.2578306, 59.6313575 36.2579902, 59.6315323 36.2581044)",,,,
103,266038807,3228847825,0,24471850,True,,primary_link,,147.424,155.8,میدان عدالت,,"LINESTRING (59.6247867 36.2802797, 59.6248068 36.2801167, 59.6247779 36.2799516, 59.6247809 36.2797569, 59.6248349 36.2795617, 59.6249265 36.2794407, 59.6251121 36.2793023, 59.6252798 36.2792142, 59.6253928 36.2791925)",,,,
104,266038807,696536512,0,382894107,True,,primary,60,420.319,140.5,بولوار مصلی,,"LINESTRING (59.6247867 36.2802797, 59.6252845 36.2798438, 59.6257909 36.2793664, 59.6260089 36.2791678, 59.626488 36.2786851, 59.626874 36.2782524, 59.6274501 36.2776746, 59.6277664 36.2773642)",,,,
105,266038814,2462189497,0,382894106,True,,primary,60,113.721,139.1,بولوار مصلی,,"LINESTRING (59.62789 36.2772448, 59.628237 36.2769098, 59.6282893 36.276858, 59.62872 36.2764716)",,,,
106,266038907,266038909,0,382926248,True,,primary,60,79.93100000000001,325.9,بولوار مصلی,,"LINESTRING (59.6248438 36.2803727, 59.624615 36.2805988, 59.6244304 36.2807984, 59.6243482 36.2809637)",,,,
107,266038909,266038910,0,382926248,True,,primary,60,12.303,346.1,بولوار مصلی,,"LINESTRING (59.6243482 36.2809637, 59.6243152 36.2810711)",,,,
108,266039129,316747853,0,24471852,True,,primary_link,,145.55700000000002,322.6,میدان عدالت,,"LINESTRING (59.6278964 36.2774501, 59.6275022 36.2778738, 59.6271308 36.2782605, 59.6269107 36.2784903)",,,,
