,u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,bearing,junction,lanes,width
0,260272734,3468375894,0,24003313,True,بولوار شهید محمد منتظری,primary,60,143.21699999999998,"LINESTRING (59.5574371 36.2875009, 59.5578517 36.2883825, 59.5579824 36.2887112)",20.0,,,
1,260272738,6539704686,0,24003313,True,بولوار شهید محمد منتظری,primary,60,249.188,"LINESTRING (59.5581044 36.2891244, 59.5584926 36.2899482, 59.5590915 36.2912194)",20.8,,,
2,260272742,260272743,0,958736927,True,بولوار شهید محمد منتظری,primary,60,137.543,"LINESTRING (59.5600916 36.2933866, 59.5606515 36.2945383)",21.4,,,
3,260272743,679718761,0,958736927,True,بولوار شهید محمد منتظری,primary,60,533.716,"LINESTRING (59.5606515 36.2945383, 59.562579 36.2986586, 59.5627525 36.2990295)",20.7,,,
4,260272750,260300197,0,958736959,False,میدان فلسطین,primary,30,17.242,"LINESTRING (59.5633112 36.2998807, 59.5634059 36.2998942, 59.5634931 36.299927)",72.5,circular,,
5,260273168,260272734,0,24003313,True,بولوار شهید محمد منتظری,primary,60,31.629,"LINESTRING (59.5573134 36.2872345, 59.5574371 36.2875009)",20.5,,,
6,260300193,260300205,0,958736961,False,میدان فلسطین,primary,30,8.611,"LINESTRING (59.5630968 36.3004277, 59.5631839 36.3004604)",65.0,circular,,
7,260300193,260652140,0,981537241,True,بولوار ملک آباد,primary,60,24.936,"LINESTRING (59.5630968 36.3004277, 59.5628444 36.3005221)",294.9,,,
8,260300197,260300201,0,383029401,False,میدان فلسطین,primary,30,43.092,"LINESTRING (59.5634931 36.299927, 59.5635667 36.2999769, 59.5636218 36.3000404, 59.5636546 36.3001133, 59.563663 36.3001905, 59.5636462 36.3002668)",20.0,circular,,
9,260300197,1545729898,0,958736957,True,بولوار احمدآباد,primary,60,140.832,"LINESTRING (59.5634931 36.299927, 59.5637086 36.2998831, 59.5639711 36.2998244, 59.5641016 36.2997863, 59.5649837 36.2995292)",108.3,,4,
10,260300197,260272750,0,958736959,False,میدان فلسطین,primary,30,17.242,"LINESTRING (59.5634931 36.299927, 59.5634059 36.2998942, 59.5633112 36.2998807)",252.5,circular,,
11,260300201,260300202,0,958736923,False,میدان فلسطین,primary,30,8.616,"LINESTRING (59.5636462 36.3002668, 59.5636055 36.300337)",335.0,circular,,
12,260300201,260300197,0,383029401,False,میدان فلسطین,primary,30,43.092,"LINESTRING (59.5636462 36.3002668, 59.563663 36.3001905, 59.5636546 36.3001133, 59.5636218 36.3000404, 59.5635667 36.2999769, 59.5634931 36.299927)",200.0,circular,,
13,260300202,260300201,0,958736923,False,میدان فلسطین,primary,30,8.616,"LINESTRING (59.5636055 36.300337, 59.5636462 36.3002668)",155.0,circular,,
14,260300202,260300205,0,24005431,False,میدان فلسطین,primary,30,43.093,"LINESTRING (59.5636055 36.300337, 59.5635436 36.3003964, 59.5634648 36.3004408, 59.5633744 36.3004672, 59.5632786 36.3004739, 59.5631839 36.3004604)",290.0,circular,,
15,260300202,4157822264,0,24456919,True,بولوار فلسطین,secondary,50,65.062,"LINESTRING (59.5636055 36.300337, 59.5636437 36.3005047, 59.5636552 36.3005555, 59.5638271 36.300891)",17.9,,,
16,260300205,260300193,0,958736961,False,میدان فلسطین,primary,30,8.611,"LINESTRING (59.5631839 36.3004604, 59.5630968 36.3004277)",245.0,circular,,
17,260300205,260300202,0,24005431,False,میدان فلسطین,primary,30,43.093,"LINESTRING (59.5631839 36.3004604, 59.5632786 36.3004739, 59.5633744 36.3004672, 59.5634648 36.3004408, 59.5635436 36.3003964, 59.5636055 36.300337)",110.0,circular,,
18,260593623,268923793,0,381812652,True,ورودی میدان استقلال,trunk_link,,271.205,"LINESTRING (59.5426837 36.3225563, 59.5432138 36.3238283, 59.5433026 36.3241613, 59.5434218 36.3245937, 59.5435163 36.324898)",16.0,,,
19,260631429,260631430,0,963182251,True,میدان استقلال,primary,40,24.569,"LINESTRING (59.5440227 36.3256241, 59.5442529 36.3257442)",57.1,circular,,
20,260631430,260631668,0,24032447,True,بولوار فردوسی,primary,60,124.527,"LINESTRING (59.5442529 36.3257442, 59.5444761 36.3258756, 59.5447336 36.3259033, 59.5450331 36.3259096, 59.5453457 36.3258681, 59.5455746 36.3258174)",86.1,,,
