,u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,bearing,lanes,ref,bridge,junction,width
0,260429614,6495618635,0,48122967,True,کندرو بزرگراه پیامبر اعظم,trunk_link,30.0,220.036,"LINESTRING (59.5422027 36.3552308, 59.5425666 36.3546404, 59.5428917 36.3540957, 59.5432279 36.3534336)",155.3,,,,,
1,260429614,8933749275,0,965706335,True,,trunk_link,,165.672,"LINESTRING (59.5422027 36.3552308, 59.5423901 36.3550516, 59.5432782 36.3540196)",144.4,,,,,
2,260429618,260429620,0,382648754,True,بزرگراه پیامبر اعظم,trunk,80.0,130.378,"LINESTRING (59.5463064 36.3488394, 59.5466433 36.3482432, 59.5469094 36.3477722)",155.5,3,22.0,,,
3,260429618,260629334,0,484959580,True,,trunk_link,80.0,201.32,"LINESTRING (59.5463064 36.3488394, 59.5463472 36.3485139, 59.5464158 36.3482979, 59.5464502 36.3480628, 59.546433 36.3477932, 59.5463729 36.3475996, 59.5460575 36.3471071)",186.6,3,,,,
4,260429620,260430031,0,24015436,True,,trunk_link,,180.24400000000003,"LINESTRING (59.5469094 36.3477722, 59.547021 36.3473782, 59.5472699 36.3468528, 59.5474845 36.3463066, 59.5475113 36.3462279)",162.6,2,,,,
5,260593652,260593655,0,976994874,True,بزرگراه پیامبر اعظم,trunk,80.0,234.49,"LINESTRING (59.5471297 36.3479522, 59.5468121 36.3484915, 59.5465203 36.3489408, 59.5459796 36.3498464)",333.9,3,,,,
6,260593655,4198136589,0,373234994,True,بزرگراه پیامبر اعظم,trunk,80.0,79.943,"LINESTRING (59.5459796 36.3498464, 59.5455853 36.3504914)",333.8,,22.0,,,
7,260593657,666065572,0,373234994,True,بزرگراه پیامبر اعظم,trunk,80.0,101.725,"LINESTRING (59.544786 36.3518451, 59.5442769 36.3526629)",333.4,,22.0,,,
8,260593657,4198136489,0,419814628,False,,trunk_link,,33.657,"LINESTRING (59.544786 36.3518451, 59.5451575 36.3517993)",98.7,,,,,
9,260593659,666065575,0,24389928,True,,trunk_link,,170.002,"LINESTRING (59.5436114 36.353851, 59.5431258 36.355329)",345.2,,,,,
10,260593659,260593669,0,"[965706367, 965706366, 958823767]",True,بزرگراه پیامبر اعظم,trunk,80.0,670.787,"LINESTRING (59.5436114 36.353851, 59.5416005 36.3572016, 59.5411976 36.3579105, 59.5403869 36.3592958)",334.5,,22.0,,,
11,260593663,5463056621,0,665588545,True,کندرو بزرگراه پیامبر اعظم,trunk,60.0,21.738,"LINESTRING (59.5428149 36.3558709, 59.5426986 36.3560425)",331.4,2,,,,
12,260593663,5639180694,0,"[590701721, 52370963]",False,پیامبراعظم 5,unclassified,,145.94400000000002,"LINESTRING (59.5428149 36.3558709, 59.5433182 36.3558278, 59.5443699 36.3561463)",77.6,,,,,
13,260593664,5463056623,0,567583398,False,پیامبراعظم 9,residential,,162.438,"LINESTRING (59.5424746 36.3564242, 59.5441094 36.3570572)",64.3,,,,,
14,260593664,260593710,0,665588545,True,کندرو بزرگراه پیامبر اعظم,trunk,60.0,152.124,"LINESTRING (59.5424746 36.3564242, 59.5423286 36.3566729, 59.5421735 36.3569372, 59.5420572 36.3571106, 59.5417011 36.3576417)",332.9,2,,,,
15,260593669,260593670,0,965706366,True,بزرگراه پیامبر اعظم,trunk,80.0,156.552,"LINESTRING (59.5403869 36.3592958, 59.5396354 36.360567)",334.5,,22.0,,,
16,260593670,6846244955,0,685939009,True,,trunk_link,,191.279,"LINESTRING (59.5396354 36.360567, 59.5394279 36.3611344, 59.5393087 36.3614607, 59.5390194 36.3622141)",343.2,,,,,
17,260593670,264638543,0,973434460,True,بزرگراه پیامبر اعظم,trunk,80.0,1212.195,"LINESTRING (59.5396354 36.360567, 59.5376698 36.3638288, 59.534496 36.3691701, 59.5338769 36.3701794, 59.5337563 36.3703868)",334.3,3,22.0,,,
18,260593710,260593669,0,665588548,True,,trunk,,218.355,"LINESTRING (59.5417011 36.3576417, 59.5403869 36.3592958)",327.4,,,,,
19,260593710,314760990,0,958823765,True,کندرو بزرگراه پیامبر اعظم,trunk,60.0,142.889,"LINESTRING (59.5417011 36.3576417, 59.5410122 36.3588008)",334.4,2,,,,
20,260593710,260593898,0,24029580,False,امام هادی,secondary,50.0,221.576,"LINESTRING (59.5417011 36.3576417, 59.5426776 36.3578136, 59.543443 36.3579483, 59.5441184 36.3580672)",77.7,,,,,
21,260593898,260593899,0,24029580,False,امام هادی,secondary,50.0,66.07,"LINESTRING (59.5441184 36.3580672, 59.5448387 36.3581959)",77.5,,,,,
22,260593898,260593710,0,24029580,False,امام هادی,secondary,50.0,221.576,"LINESTRING (59.5441184 36.3580672, 59.543443 36.3579483, 59.5426776 36.3578136, 59.5417011 36.3576417)",257.7,,,,,
23,260593898,314760987,0,"[978058104, 52528262]",False,"['حمامی 22', 'امام هادی ۱۹']","['living_street', 'residential']",30.0,194.199,"LINESTRING (59.5441184 36.3580672, 59.543983 36.358994, 59.5438577 36.359801)",353.1,,,,,
24,260593898,666065587,0,"[52528254, 590701726]",False,"['پایدار ۲۱', 'امام هادی ۲۰']",residential,30.0,211.048,"LINESTRING (59.5441184 36.3580672, 59.5443547 36.3570537, 59.5445533 36.3562018)",169.4,,,,,
25,260593899,260593898,0,24029580,False,امام هادی,secondary,50.0,66.07,"LINESTRING (59.5448387 36.3581959, 59.5441184 36.3580672)",257.5,,,,,
26,260593899,260593900,0,24029580,False,امام هادی,secondary,50.0,58.164,"LINESTRING (59.5448387 36.3581959, 59.5450666 36.3582366, 59.5451577 36.3582529, 59.5454728 36.3583092)",77.5,,,,,
27,260593899,314760986,0,"[52528253, 978057814]",False,"['امام هادی ۱۷', 'حمامی 20']","['living_street', 'residential']",30.0,192.581,"LINESTRING (59.5448387 36.3581959, 59.5445931 36.3590901, 59.5443843 36.3598887)",347.8,,,,,
28,260593899,666065583,0,"[52528255, 590701727]",False,"['امام هادی ۱۸', 'پایدار ۱۹']",residential,30.0,200.269,"LINESTRING (59.5448387 36.3581959, 59.5450787 36.3573164, 59.5453186 36.3564368)",167.6,,,,,
29,260593900,260593901,0,24029580,False,امام هادی,secondary,50.0,58.328,"LINESTRING (59.5454728 36.3583092, 59.5461087 36.3584228)",77.5,,,,,
30,260593900,260593899,0,24029580,False,امام هادی,secondary,50.0,58.164,"LINESTRING (59.5454728 36.3583092, 59.5451577 36.3582529, 59.5450666 36.3582366, 59.5448387 36.3581959)",257.5,,,,,
31,260593900,667505675,0,"[978057813, 52528261]",False,"['امام هادی ۱۵', 'حمامی ۱۸']","['living_street', 'residential']",30.0,190.952,"LINESTRING (59.5454728 36.3583092, 59.5452288 36.3592022, 59.5450253 36.3599882)",347.9,,,,,
